,N,MSE ↓,PSNR ↑,SSIM ↑,CLIP ↑,LPIPS ↓,FID ↓,Invert (s) ↓,Recon (s) ↓,Total (s) ↓
ddim,5000.0,536.8067269810994,22.10592139347996,0.6363667219901201,0.8614012433856726,0.22431542759276926,15.591191291809082,1.4761506415724754,1.5146801363852807,2.990830777957756
heun,5000.0,311.5751771692912,25.102346517809163,0.7200884302951883,0.9736847602069378,0.08143058104161169,3.3697550296783447,2.9110045009086374,2.9518628011627124,5.86286730207135
