,N,MSE ↓,PSNR ↑,SSIM ↑,CLIP ↑,LPIPS ↓,FID ↓,Invert (s) ↓,Recon (s) ↓,Total (s) ↓
ddim,5000.0,507.1640756624857,22.38763269837506,0.6457090071536609,0.8963820583641529,0.2092134541027248,11.6893949508667,1.4769814235965721,1.515927525565913,2.992908949162485
heun,5000.0,311.1827984743754,25.127070871711453,0.7203711710708587,0.9751286159515381,0.08078921436546366,3.2687883377075195,2.9124214461517055,2.952978034713212,5.865399480864918
