,N,MSE ↓,PSNR ↑,SSIM ↑,CLIP ↑,LPIPS ↓,FID ↓,Invert (s) ↓,Recon (s) ↓,Total (s) ↓
ddim,5000.0,532.4288996164958,22.109215532758327,0.636720279981005,0.8654664565503597,0.2234591471562162,15.79098129272461,1.4766779247284867,1.5155580054238438,2.9922359301523307
heun,5000.0,311.1287963350932,25.103630103528868,0.7202311262213945,0.9739083736777305,0.08118579305317249,3.365424394607544,2.91182991209249,2.9525596912825947,5.864389603375085
